Id,EpiOrStroma
0,2
1,2
2,1
3,2
4,2
5,1
6,2
7,1
8,2
9,1
10,2
11,2
12,1
13,1
14,2
15,2
16,2
17,2
18,1
19,2
20,2
21,2
22,1
23,2
24,2
25,2
26,1
27,2
28,2
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,2
37,2
38,2
39,1
40,1
41,1
42,2
43,1
44,2
45,2
46,2
47,1
48,1
49,2
50,1
51,2
52,1
53,2
54,2
55,1
56,2
57,2
58,1
59,2
60,1
61,2
62,2
63,1
64,2
65,2
66,2
67,1
68,2
69,2
70,2
71,1
72,1
73,1
74,1
75,2
76,2
77,1
78,1
79,2
80,1
81,1
82,1
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,1
94,2
95,1
96,2
97,1
98,2
99,2
100,2
101,1
102,1
103,2
104,1
105,2
106,1
107,1
108,2
109,1
110,2
111,2
112,2
113,1
114,1
115,2
116,1
117,1
118,1
119,2
120,2
121,1
122,2
123,1
124,2
125,1
126,1
127,1
128,2
129,2
130,1
131,2
132,1
133,1
134,1
135,2
136,2
137,2
138,2
139,1
140,2
141,1
142,2
143,1
144,1
145,2
146,1
147,2
148,2
149,1
150,1
151,1
152,2
153,2
154,2
155,1
156,1
157,2
158,2
159,2
160,1
161,2
162,2
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,2
173,2
174,1
175,1
176,2
177,2
178,1
179,2
180,2
181,1
182,2
183,2
184,2
185,2
186,2
187,1
188,2
189,2
190,1
191,1
192,2
193,2
194,2
195,2
196,1
197,1
198,1
199,2
200,2
201,1
202,1
203,1
204,1
205,2
206,2
207,1
208,2
209,1
210,2
211,2
212,2
213,1
214,2
215,1
216,1
217,2
218,1
219,1
220,2
221,1
222,2
223,2
224,1
225,2
226,2
227,1
228,2
229,2
230,1
231,1
232,1
233,2
234,2
235,2
236,2
237,2
238,2
239,1
240,1
241,1
242,2
243,1
244,2
245,1
246,1
247,1
248,1
249,2
250,2
251,1
252,2
253,2
254,1
255,2
256,1
257,2
258,1
259,1
260,1
261,2
262,1
263,2
264,2
265,1
266,2
267,1
268,2
269,2
270,1
271,1
272,1
273,2
274,2
275,1
276,2
277,1
278,2
279,2
280,2
281,1
282,2
283,2
284,1
285,1
286,2
287,1
288,2
289,2
290,1
291,1
292,2
293,1
294,2
295,2
296,1
297,2
298,2
299,1
300,2
301,1
302,2
303,1
304,1
305,1
306,1
307,2
308,1
309,1
310,1
311,1
312,2
313,2
314,2
315,2
316,1
317,2
318,1
319,1
320,1
321,1
322,1
323,2
324,2
325,2
326,2
327,1
328,2
329,1
330,2
331,2
332,1
333,2
334,2
335,1
336,1
337,1
338,1
339,1
340,2
341,2
342,2
343,2
344,2
345,1
346,1
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,1
356,2
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,1
372,2
373,2
374,2
375,1
376,1
377,2
378,2
379,2
380,1
381,2
382,1
383,1
384,2
385,1
386,2
387,2
388,2
389,2
390,2
391,1
392,1
393,2
394,2
395,2
396,2
397,1
398,2
399,2
400,1
401,2
402,2
403,1
404,2
405,2
406,2
407,2
408,1
409,2
410,2
411,1
412,2
413,2
414,1
415,2
416,1
417,1
418,1
419,2
420,1
421,1
422,2
423,2
424,2
425,1
426,1
427,2
428,2
429,2
430,2
431,2
432,1
433,1
434,2
435,2
436,2
437,1
438,2
439,2
440,2
441,2
442,1
443,2
444,1
445,2
446,2
447,2
448,2
449,1
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,1
461,2
462,1
463,2
464,2
465,1
466,2
467,2
468,2
469,2
470,2
471,1
472,2
473,2
474,1
475,2
476,2
477,1
478,2
479,1
480,2
481,1
482,2
483,1
484,2
485,2
486,2
487,1
488,1
489,1
490,2
491,2
492,1
493,2
494,2
495,2
496,1
497,2
498,1
499,1
500,1
501,2
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,2
510,1
511,1
512,2
513,2
514,1
515,2
516,2
517,2
518,2
519,1
520,1
521,2
522,1
523,1
524,1
525,1
526,2
527,2
528,2
529,2
530,2
531,1
532,1
533,1
534,2
535,2
536,2
537,2
538,2
539,1
540,2
541,1
542,2
543,1
544,2
