Id,PRP
0,198
1,269
2,220
3,172
4,318
5,367
6,489
7,636
8,1144
9,38
10,92
11,138
12,10
13,35
14,28
15,120
16,30
17,33
18,61
19,76
20,23
21,69
22,33
23,274
24,32
25,20
26,29
27,26
28,40
29,52
30,60
31,72
32,18
33,40
34,62
35,24
36,138
37,36
38,26
39,60
40,71
41,12
42,16
43,22
44,36
45,144
46,144
47,259
48,17
49,26
50,32
51,62
52,64
53,22
54,44
55,50
56,45
57,53
58,36
59,84
60,16
61,38
62,38
63,16
64,22
65,29
66,40
67,35
68,66
69,141
70,189
71,22
72,132
73,237
74,465
75,277
76,185
77,6
78,24
79,45
80,13
81,16
82,32
83,11
84,11
85,18
86,22
87,37
88,40
89,34
90,50
91,76
92,66
93,24
94,49
95,66
96,100
97,133
98,12
99,18
100,20
101,27
102,45
103,56
104,70
105,80
106,16
107,26
108,32
109,45
110,54
111,65
112,30
113,50
114,40
115,62
116,60
117,50
118,66
119,86
120,74
121,93
122,111
123,105
124,277
125,510
126,326
127,510
128,8
129,12
130,17
131,21
132,24
133,34
134,42
135,46
136,51
137,116
138,100
139,140
140,212
141,30
142,41
143,50
144,50
145,32
146,38
147,60
148,6
149,11
150,22
151,58
152,130
153,248
154,405
155,70
156,114
157,208
158,307
159,915
160,1150
161,14
162,21
163,42
164,46
165,52
166,67
167,45
